location,population,peak_infection_count,percentage_of_population_infected
South Korea,51815808,30479753,58.8232706899022
France,67813000,39645138,58.4624452538599
Israel,9449000,4796663,50.7637104455498
Germany,83369840,38090089,45.6880917607614
United Kingdom,67508936,24370154,36.0991528588156
United States,338289856,103355819,30.5524440555498
Japan,123951696,33173351,26.7631279526825
Russia,144713312,21907416,15.1384939624628
United Arab Emirates,9441138,1051457,11.13697310642
China,1425887360,2023904,0.141939963616761
